Ho,EP,EN,Year,Type,IT,,,,
47,14,-14,1998.67,Z,Furuzawa,,,,
70,18,-18,1998.678,T,Madore,,,,
71,13,-13,1998.681,L,Tonry,,,,
82,8,-8,1998.714,G,Grillmair,,,,
77,4,-4,1998.756,R,Tully R. 1998,,,,
60,10,-10,1998.775,O,Paturel,,,,
53,38,-28,1998.85,Z,Andreani \etal 1999,,,,
64,4,-4,1998.869,S,Suntzeff,,,,
42,9,-9,1998.883,O,Collier,,,,
69,8,-8,1999.07,R,Shanks,,,,
64,4,-4,1999,S,Jha,,,,
73,8,-8,1999.02,AK,Freedman,,,,
58,11,-11,1999.04,OC,Lineweaver,,,,
61,6,-6,1999.095,S,Meikle \& Hernandez,,,,
44,7,-7,1999.155,Z,Komatsu,,,,
59,5,-5,1999.21,S,Tammann,,,,
77,29,-24,1999.218,L,Bernstein,,,,
69,13,-19,1999.253,L,Biggs,,,,
65,5,-5,1999.258,A,Turner,,,,
57,23,-16,1999.288,ZC,Grainge,,,,
46,14,-11,1999.29,Z,Saunders,,,,
63,7,-7,1999.3,L,Myers,,,,
62,5,-5,1999.317,S,Tripp,,,,
56,6,-6,1999.322,OS,Tammann,,,,
52,5,-4,1999.325,B,Ekholm,,,,
60,2,-2,1999.328,SS,Saha,,,,
65,2,-2,1999.35,S,Filippenko,,,,
72,6,-6,1999.352,O,Richtler,,,,
70,5,-6,1999.382,AK,Freedman,,,,
79,7,-7,1999.403,S,Jensen \etal   SBF Far field e-mail,,,,
68,10,-10,1999.409,A,Lineweaver,,,,
73,11,-13,1999.41,Z,Mason and Myers,,,,
78,11,-11,1999.419,DK,Kelson,,,,
71,8,-8,1999.42,BK,Sakaim S. \etal KP AAS   TF,,,,
69,7,-7,1999.43,OK,Ferrarese,,,,
68,5,-5,1999.44,SK,Gibson,,,,
68,6,-6,1999.445,AK,Mould \etal KP AAS Combination + Fe corr,,,,
71,6,-6,1999.445,AK,Mould \etal KP AAS Comb no Fe corr,,,,
79,7,-7,1999.446,S,Tonry \etal AAS,,,,
60,12,-12,1999.447,Z,Reese \etal 46.03 AAS Meeting  SCDM,,,,
63,12,-12,1999.447,Z,Reese \etal 46.03              Open U,,,,
67,12,-12,1999.447,Z,Reese \etal 46.03              Lambda U,,,,
69,18,-12,1999.448,L,Chae,,,,
64,8,-6,1999.458,S,Jha,,,,
65,8,-8,1999.464,A,Rowan-Robinson,,,,
63,4,-4,1999.516,S,Phillips,,,,
77,7,-7,1999.52,F,Tonry,,,,
74,7,-7,1999.538,F,Blakeslee,,,,
59,8,-7,1999.556,LC,Fassnacht \etal,,,,
68,13,-13,1999.557,LC,Koopmans,,,,
74,18,-17,1999.56,L,Chae at Gravitational lensing conf. 0957,,,,
55,15,-14,1999.56,L,Chae at Gravitational lensing conf. 0957,,,,
71,7,-5,1999.561,L,Lovell,,,,
69,13,-10,1999.562,L,Wilkott,,,,
65,1,-1,1999.575,S,Wang,,,,
68,5,-5,1999.618,SK,Gibson,,,,
66,6,-6,1999.669,O,Hendry,,,,
69,6,-6,1999.672,FK,Ferrarese,,,,
71,7,-7,1999.675,AK,Freedman,,,,
